"Latitude (dec degrees lat-lon)","Longitude (dec degrees lat-lon)","Line","Station","Year","Month","Day (day)","anoSST","rlduration","Nitracline (m)","IntChla (mg/m²)","IntPP","Chlalow1um","Chla1-3um","Chla3-8um","Chla8-20um","ChlaLarger20um","DivinylChla","Fucoxanthin","Hexanoyloxyfucoxanthin","Prochlorococcus (number/ml)","Synechococcus (number/ml)","HeteroBacteria (number/ml)","Picoeukaryotes (number/ml)","ZooDisplace","calanoid","eucalanids","harpacticoida","poecilostomatoids","oithona","nauplii","euphausiids","pyrosomes","salps","doliolids","Sardine-egg","Anchovy-egg","Sardine-larvae (num/10m²)","Anchovy-larvae (num/10m²)"
"29.84637","-123.58661","93","120","1990","8","28","2.334440335","5","0.20271069524835","-0.00053381","0.029731807","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29.84637","-123.58661","93","120","1989","4","20","1.9112597284853","4","0.25726004869968","-0.035369355","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29.84637","-123.58661","93","120","1995","4","9","2.112626305","6","-0.62456376760029","0.204938246","0.184574436","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29.84637","-123.58661","93","120","2015","7","13","2.8239019464638","13","-0.048676976544608","0.002499222","","","","","","","","","","0.036181768531851","-0.031281897068344","-0.059416331058116","0.042297135800057","","","","","","","","","","","","","","",""
"29.84637","-123.58661","93","120","2018","4","8","1.6020556356671","4","0.0043465409153602","0.023591356","","","","","","","","","","0.25821547544512","0.097762929385425","0.037036688283441","0.013265883661055","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","1995","4","9","1.7138414873624","6","-0.54905905054526","0.033152636","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","1989","4","19","1.941051344","3","0.18731465180806","-0.027986041","0.173109313","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","1990","8","28","1.6306143684255","3","-0.12201431910883","-0.006280969","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","1992","10","29","1.562636615665","10","0.082352605691743","-0.055232256","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","2015","7","12","2.838156936171","12","-0.15560765096862","0.050082776","","","","","","","","","","-0.16399483789144","-0.50303944140503","-0.18087319494883","-0.12742230357302","","","","","","","","","","","","","","",""
"30.17971","-122.92324","93","110","2014","7","9","1.4807324301908","3","0.18373581942185","-0.086139948","","","","","","","","","","-0.16446257566622","-0.40336388965441","-0.15545878264428","-0.20068358017713","","","","","","","","","","","","","","",""
"30.18","-122.925","93","110","1995","4","9","1.7138414873624","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3850133101031",""
"30.41795","-123.99893","90","120","1997","2","2","1.310884680319","1","0.46731986245047","0.040861092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.41795","-123.99893","90","120","1995","4","10","2.0226806443033","5","0.076408028473808","-0.032748785","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.41795","-123.99893","90","120","1995","4","9","1.5532941637878","4","","","","","","","","","","","","","","","","0.02236014","","","","","","","","","","","","","",""
"30.41795","-123.99893","90","120","2014","7","9","1.2836780607292","2","0.14694641412217","-0.032064099","","","","","","","-0.21152406479935","0.13074528651497","-0.22603730135665","0.071225866551016","-0.3302765020089","-0.036096685891668","-0.040828325733624","0.08313258","-0.22198715035178","-0.62291873413757","-0.015257191323369","1.2349443513572","0.11019769086604","0.18975531268655","-0.1922092452056","-0.26993574120643","1.2801656590518","1.0643967773514","","","",""
"30.41795","-123.99893","90","120","2018","4","8","1.6028716040832","3","-0.23329844754541","0.042714765","0.118390865","","","","","","-0.29390819401568","-0.57881131412695","-0.64099583938783","0.082776829519999","0.068287640159266","0.032016013993733","0.0031441064342563","-0.334187183","-0.37999242501252","-0.69151029975114","-0.76891298612377","0.054967624464368","-0.30595980858036","0.30269280106017","-0.69997810366715","-0.48521933359954","-0.87947995435771","0.8553623761228","","","",""
"30.41795","-123.99893","90","120","2017","8","4","2.2080513650715","4","0.14694641412217","0.005346317","0.044796257","","","","","","-0.1197536914437","-0.091103463101386","-0.22603730135665","0.19832122041217","0.017923055114979","-0.018846153320926","-0.0776798091842","","-0.35137598463499","-0.62291873413757","1.108087298186","0.49565804363018","0.074663277042678","-0.12172492550616","-0.046366653220854","-0.26993574120643","1.4081036076855","1.1886486339341","","","",""
"30.41795","-123.99893","90","120","2015","7","13","3.3152938945519","13","0.12427476378156","0.009577901","","","","","","","-0.32802963387079","-0.56822471782105","-0.36433999952293","0.14995992242001","0.17810843803811","-0.089241558743643","0.064523482635676","0.067338313","0.41923390557172","-0.62291873413757","0.75466910758818","0.95352020532565","0.36223147798078","0.56182419461515","0.71211121134766","-0.26993574120643","-0.98620140673927","-1.1299116087606","","","",""
"30.41795","-123.99893","90","120","1989","4","20","2.1547227939714","4","0.23643998598018","-0.076082638","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.41795","-123.99893","90","120","1990","8","29","2.40372762518","5","-0.26308053591037","0.0268133","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.41795","-123.99893","90","120","1989","4","19","1.9574523634003","3","","","","","","","","","","","","","","","","-0.053360574","","","","","","","","","","","","","",""
"30.5","-122.25","93","100","2018","4","8","1.3637354684834","3","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.20341778418932","","",""
"30.5","-123.75","90","117","2018","4","8","1.6028716040832","3","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.082211034861058","","",""
"30.51304","-122.2576","93","100","2020","10","13","1.4448736505346","1","","-0.015111594","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.51304","-122.2576","93","100","1990","8","28","1.4872543998486","4","-0.25342370086087","0.116119419","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.51304","-122.2576","93","100","1984","2","27","1.5736097327159","26","0.2483051127097","-0.241930474","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.51304","-122.2576","93","100","2014","7","9","1.2313549460917","1","0.52324675914844","-0.052032345","","","","","","","","","","-0.022329830465652","-0.30300210046681","-0.12582205694998","-0.31966805736629","","","","","","","","","","","","","","",""
"30.75","-122","93","95","2018","4","8","1.3646009560038","2","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.27052433949769","","",""
"30.75128","-123.33164","90","110","1995","4","10","1.8761810300507","8","0.31863935908984","-0.071251722","","","","","","","","","","","","","","-0.199013808","","","","","","","","","","","","","",""
"30.75128","-123.33164","90","110","1990","8","29","2.2988089430113","4","-0.39513559410413","0.086047872","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
